Date,Open,High,Low,Close,Volume,sentiment_score,total_addresses,million_dollar_addresses,ratio,SMA_5,SMA_14,WMA_3,WMA_5,WMA_10,EMA_3,EMA_5,EMA_10,RSI_14,Stoch_RSI_14,MACD_30_15,MACD_Signal_9,ROC_5,ROC_12,MOM_5,MOM_10,MOM_20,K,D,J,STD_10,STD_20,ATR_7,ATR_14,BB_Mid_10,BB_High_10,BB_Low_10,OBV,VWAP_20,VWAP_10,VWAP_5,MFI_14,MFI_7,AD_Line,CMF_20,CMF_10
2025-12-14,90255.32,90496.16,87565.38,88171.61,3643.36533229,0.1241505194805194,57645527.0,90.0,1.5612659764564214e-06,90656.584,90627.15142857142,89568.31,90656.584,90564.233,89455.35622207643,90026.53104767903,90391.59314831444,48.25233833581871,,777.3086275748938,966.9942788719776,-0.0487473298090408,-0.0343500928998046,-4518.389999999999,-3921.929999999993,-94.58999999999652,40.32605025893257,53.20995216158426,14.55824645362918,1479.4479466045136,1784.162383420199,3168.208571428572,3667.1100000000015,90564.233,93371.28811455764,87757.17788544233,-22854.68530326001,90311.28421413252,91118.0844118402,91412.61283948862,49.48693088184333,55.75897961719917,10273.48465265364,0.0293149278257529,-0.158773281140065
2025-12-15,88174.37,90064.74,85129.63,86417.5,9868.30482589,0.1241505194805194,57652734.0,90.0,1.5610708071537425e-06,89532.88600000001,90636.80428571429,88281.47666666667,89532.88600000001,90271.454,87936.42811103821,88823.52069845269,89669.03075771182,44.09774466397134,,494.3294604663097,872.4613151908441,-0.0610466622893935,-0.0752921442286372,-5618.490000000005,-2927.7899999999936,-907.5099999999948,13.540804728825329,37.80471730785112,-34.98702042922626,1959.344367328597,1878.2090661004445,3488.5157142857142,3545.7821428571447,90271.454,93989.04855282798,86553.85944717201,-32722.990129150006,90317.71771710116,90644.11660873436,89664.96376291115,52.675019287399074,38.97248362077364,5555.66025622475,-0.0041922900322321,-0.1690536617037759
2025-12-16,86417.5,88148.0,85250.0,87854.01,7734.132664,0.1241505194805194,57641326.0,90.0,1.5613797642337375e-06,88595.28800000002,90390.08714285714,87481.04,88595.28800000002,90130.058,87895.2190555191,88500.35046563513,89339.02698358239,48.04313217566264,,345.59647722449154,767.0883475975736,-0.0506579715156362,-0.0460350421973136,-4687.990000000005,-1413.9600000000064,-2614.8300000000017,28.64442652373077,27.50376050382956,30.9257585635332,2086.687971530234,1966.0871438683143,3173.5,3312.7378571428594,90130.058,94089.27005366726,86170.84594633272,-24988.85746515001,90241.04779830096,90287.63732622017,88302.2714711575,42.02777788492605,19.574830786063288,11720.601987243796,-0.0335109984255134,-0.0433085773178353
2025-12-17,87854.0,90336.36,85267.69,86209.77,10021.43107061,0.1241505194805194,57651249.0,90.0,1.5611110177335447e-06,87781.642,89872.65357142857,86827.09333333334,87781.642,89710.80600000001,87052.49452775955,87736.82364375675,88770.07116838558,44.19805767180312,0.005728729939227,121.61426531909092,637.9935311418772,-0.0450633598440373,-0.0350944073268998,-4068.229999999996,-4192.5199999999895,-5106.929999999993,11.356708999971609,17.847313417509234,-1.6244998351036486,2420.4045933787456,2153.040091662996,3477.115714285714,3449.290000000002,89710.80600000001,94303.20082452631,85118.4111754737,-35010.28853576,89996.95674030198,89893.84061801495,87509.53595783695,41.82255973278234,20.50124484284737,5424.404472182014,-0.0935627511444368,-0.1431426845877729
2025-12-18,86209.79,89447.75,84400.0,85460.02,9840.74407994,0.1241505194805194,57630135.0,91.0,1.5790349961873249e-06,86822.58200000001,89398.83071428571,86507.93333333333,86822.58200000001,89191.42199999999,86256.25726387979,86977.88909583783,88168.24368322456,42.52669378400168,0.0,-108.05455543669814,488.7839138261621,-0.0531303861090958,-0.0426575175844146,-4795.300000000003,-5193.8399999999965,-5442.679999999993,10.351090652360334,16.784075392020902,-2.514878826960804,2732.671849575472,2374.56452881582,3578.682857142857,3582.535000000001,89191.42199999999,94376.3022854901,84006.54171450988,-44851.0326157,89674.40871826577,89367.11479541907,87150.46807075535,40.507100116817206,20.437076620902573,-283.2563371451233,-0.0971810717083134,-0.1928300206080716
2025-12-19,85460.85,89365.85,85052.78,88092.65,8046.9179144,0.1241505194805194,57639433.0,89.0,1.544081809409888e-06,86806.79,89309.35642857142,86587.48,86806.79,88731.687,87174.45363193989,87349.4760638919,88154.49937718373,49.716995069422985,0.3813922468275927,-135.94653730181744,363.8378236005663,-0.0008955263491275,-0.0255484678540776,-78.9600000000064,-4597.350000000006,-2735.4100000000035,36.05871105963867,19.25550357065687,69.66512603760226,2450.876217936259,2390.710432153903,3724.655714285716,3560.799285714288,88731.687,93381.89766709068,84081.47633290933,-36804.1147013,89540.96819112227,88781.80813899646,87085.33502821221,48.71449767036263,35.670300859609014,3012.8293910792954,-0.078166915395958,-0.1845040311678203
2025-12-20,88092.65,88530.6,87780.0,88324.0,1807.74517583,0.1241505194805194,57677097.0,89.0,1.5430735010813738e-06,87188.09,89241.93000000001,87292.22333333333,87188.09,88360.488,87749.22681596995,87674.31737592793,88185.31767224123,50.30537076302706,0.4126012210909367,-143.688187479318,262.3326213845894,0.0220615037463476,-0.0257006155060578,1906.5,-3711.990000000005,-2045.5099999999948,38.31784279528857,28.24254816909586,58.46843204767399,2158.4730075516,2402.447855967956,3706.2828571428586,3516.962142857145,88360.488,92455.90258311412,84265.07341688588,-34996.36952547,89494.43212897882,88252.0277778505,87108.43950441112,51.17011071210433,39.09385048897972,3825.423612135819,-0.0514395833292946,-0.1032281733996138
2025-12-21,88322.01,89046.44,87501.01,88639.95,2361.91088803,0.124220233463035,57698906.0,89.0,1.5424902510283298e-06,87345.27799999999,89116.04857142859,88352.2,87345.27799999999,87970.283,88194.58840798496,87996.19491728529,88267.97809547008,51.14611927414975,0.4571967047772987,-129.75644800784357,183.9148075061028,0.0089459775370526,-0.043694573308879,785.9400000000023,-3902.050000000003,2357.5899999999965,41.40309316001113,38.59321567164613,47.02284813674113,1598.6629309801194,2288.456332962193,3508.375714285717,3338.292142857145,87970.283,91003.53264366664,84937.03335633336,-32634.45863744,89791.89551121027,87727.4456398098,87209.1174749672,50.26875201395468,44.94760319704914,4944.84126931703,-0.0187646399590506,-0.173229723564893
2025-12-22,88639.87,90541.8,87846.17,88556.77,8901.70507789,0.124220233463035,57704680.0,89.0,1.5423359075901642e-06,87814.678,88966.25642857142,88506.90666666666,87814.678,87798.16,88375.67920399248,88183.0532781902,88320.48571447552,50.901958225215736,0.4442457688784746,-122.33727055329656,122.66439189422294,0.0272242925598804,-0.037802820396673,2347.0,-1721.229999999996,-2751.279999999999,40.590840824712494,40.1039255933374,41.56467128746267,1403.3156958432194,2267.7084452740824,3188.4500000000035,3338.482857142859,87798.16,90460.7643250772,85135.55567492281,-41536.16371533,89724.0516929367,87601.34295036785,87698.6370551744,51.33482491946116,64.24927188073232,736.326004827738,-0.1147407587178724,-0.1809709201535762
2025-12-23,88555.03,88896.63,86533.86,87429.32,7050.61151888,0.124220233463035,57725350.0,88.0,1.5244602241476231e-06,88208.538,88590.49357142857,88208.68000000001,88208.538,87515.56000000001,87902.49960199624,87931.80885212681,88158.45558457088,47.58602210683388,0.281620639105505,-183.4702642453049,61.437460666317385,0.0230435237436172,-0.0552471310323959,1969.300000000003,-2826.0,-6024.5199999999895,29.99326732673274,37.3290671038188,15.321667772560644,1106.718601180953,2115.060112840152,3111.988571428575,3142.744285714288,87515.56000000001,89615.4109051644,85415.70909483562,-48586.77523421,89381.12570636731,87544.71898636955,88120.06496641904,42.31217463208453,65.10052537102325,-970.1000108536276,-0.1693360904408493,-0.193133647933483
2025-12-24,87429.32,88001.2,86350.0,87609.03,5007.9834145,0.124220233463035,57743607.0,88.0,1.5239782301787972e-06,88111.81400000001,88274.28214285713,87865.04,88111.81400000001,87459.302,87755.76480099812,87824.21590141788,88058.56002373982,48.16564958014565,0.313884815110946,-221.16142227349337,4.917684078355229,-0.0054899018249535,-0.029563902611932,-483.61999999999534,-562.5800000000017,-4484.509999999995,34.90063905963832,35.16158240369452,34.378752371525934,1083.7240307056093,2032.266023132224,2623.778571428575,3050.4471428571446,87459.302,89515.52377525279,85403.0802247472,-43578.79181971,89162.82737382066,87466.92022015495,88157.98892200447,34.08421105011149,49.453665582595335,1659.0306230450408,-0.1390517362361241,-0.1219461033532931
2025-12-25,87609.02,88534.4,86899.0,87171.68,2819.32696132,0.124220233463035,57767837.0,88.0,1.5233390164842072e-06,87881.35,87890.68785714285,87403.34333333334,87881.35,87534.72,87463.72240049906,87606.70393427859,87897.30911033257,46.80898454946964,0.3761386302788185,-276.6825199959858,-51.40235673651298,-0.0130465105747022,-0.0341657422520912,-1152.320000000007,754.179999999993,-2173.6100000000006,33.030557985332294,32.64148812390112,33.80869770819464,1027.9762336746542,2071.2372899565007,2136.300000000003,2857.49142857143,87534.72,89485.16776736004,85584.27223263997,-46398.11878103,89067.96716790728,87510.74643331932,88087.1006313648,40.10143908145813,66.67842509535973,-220.1299253940485,-0.1297030454993548,-0.0908250090105164
2025-12-26,87171.46,89496.07,86569.53,87296.01,8673.64195064,0.124220233463035,57806244.0,88.0,1.52232689603566e-06,87612.562,87677.68857142856,87358.90666666666,87612.562,87478.92000000001,87379.86620024953,87503.13928951907,87787.98199936301,47.26373803685755,0.4184046687348224,-312.3779546640144,-103.59747632201326,-0.0151617865307911,-0.0099306341349557,-1343.9400000000023,-558.0,-1971.9600000000064,46.28432155985288,38.07183953494117,62.70928560967632,1023.8552519765304,2099.693961196057,1938.2242857142887,2831.4400000000023,87478.92000000001,89421.54875434288,85536.29124565715,-37724.476830390005,88974.01743862941,87599.04951272479,87984.48162577635,48.98726681937462,67.27070734723489,-4587.507547303948,-0.1456219243083249,-0.2527134595635384
2025-12-27,87296.17,87914.62,86944.24,87808.0,1955.01185796,0.124220233463035,57841132.0,88.0,1.5214086750584342e-06,87462.80799999999,87502.87999999999,87425.23,87462.80799999999,87638.743,87593.93310012476,87604.75952634605,87791.62163584246,49.19017876813086,0.7730776246915171,-308.1100809877244,-144.49999725515548,-0.008455254183277,0.0160904909306565,-748.7700000000041,1598.229999999996,-2594.2899999999936,55.48861897163695,44.93449950560737,76.59685790369612,923.557987327598,2075.7888182859124,1969.6214285714293,2837.952142857144,87638.743,89391.07107471768,85886.41492528233,-35769.46497243,88921.42818417396,87655.71908219307,87603.62669104112,48.78303771034895,62.0984451990348,-3062.107520370326,-0.1462503154558803,-0.1502952623718959
2025-12-28,87806.75,88000.0,87349.52,87877.29,1859.62245916,0.124220233463035,57866171.0,88.0,1.5207503534318868e-06,87552.402,87481.85714285714,87660.43333333333,87552.402,87880.47,87735.61155006237,87695.60301756403,87807.19770205292,49.4592589303376,0.8042955013950503,-297.9409337366669,-175.18818455145777,0.0051237959988708,0.0002649850587355,447.9699999999866,2417.269999999989,-2776.570000000007,56.61678986616288,52.796576799217576,64.25721600005349,516.6543588641116,2028.777441134655,1841.771428571428,2675.0735714285724,87880.47,88860.75272223876,86900.18727776124,-33909.84251327001,88801.34648080751,87906.61690604902,87610.65719976528,51.99121856903342,61.55642378199693,-1904.103164652513,-0.1310816564544956,-0.0334302218047893
2025-12-29,87877.28,90325.0,86675.0,87110.78,10415.66618294,0.124220233463035,57875610.0,88.0,1.5205023325024134e-06,87452.752,87531.37714285715,87598.68999999999,87452.752,87782.283,87423.19577503118,87500.66201170936,87680.57630167966,46.52402167887406,0.4637580427420935,-333.5757371260406,-206.8656950663744,-0.0056871991391754,0.0104513676350139,-498.25,-981.8699999999952,-5579.220000000001,44.13657234035621,52.08066039271868,28.24839623563126,563.0651247916313,1797.9720873323813,1978.1099999999983,2583.280000000001,87782.283,88850.6239592091,86713.94204079089,-44325.50869621,88464.36024413993,87997.05402930209,87839.83113823846,63.70490915543562,63.0047615057345,-9832.679479536851,-0.2120500134196751,-0.2525996875824927
2025-12-30,87110.77,89343.52,86704.98,88397.5,8725.01685173,0.124220233463035,57863840.0,87.0,1.503529665504398e-06,87697.916,87570.19785714286,87795.18999999999,87697.916,87789.633,87910.34788751559,87799.60800780624,87810.92606501063,51.70539768347477,1.0,-282.228614601001,-221.9382789732997,0.0140621357762062,0.0343725639193623,1225.820000000007,73.5,-3638.490000000005,65.08678237650197,55.28004819434036,84.70025074082521,571.3410575916539,1564.3782035464965,2017.505714285713,2564.7471428571444,87789.633,88873.67643765543,86705.58956234457,-35600.49184448,88142.13760632896,88013.24047281017,87952.19457772441,72.93438922698547,82.44422506671644,-7364.183614468888,-0.1448591178305146,-0.1936906860092175
2025-12-31,88397.24,89100.0,87082.64,87497.94,7261.18123917,0.124220233463035,57895059.0,86.0,1.4854462796212022e-06,87738.302,87662.20999999999,87668.73999999999,87738.302,87675.432,87704.1439437578,87699.05200520417,87754.01950773597,48.19000299665285,0.6170053282769342,-292.3313440292841,-236.0168919844966,0.0023131641411791,-0.0067509604944339,201.9300000000076,-1142.0099999999948,-5044.059999999998,50.44026181249798,53.221205509785385,44.87837441792318,490.9743779872261,1160.891141856479,2069.814285714285,2346.79642857143,87675.432,88606.99038433444,86743.87361566557,-42861.67308365,87857.93235684729,87984.95194987243,87985.4570896167,63.49255814289864,77.92694121251277,-11635.746175140928,-0.219515155457568,-0.2645707508122429
2026-01-01,87497.95,88798.99,87361.74,88738.34,4001.39765552,0.1249541450777202,55782613.0,130866.0,0.0023459998189758,87924.37,87896.37571428572,88211.26000000001,87924.37,87693.589,88221.24197187889,88045.48133680278,87932.98686996578,52.94112373066471,1.0,-223.21921252076567,-233.45735609175048,0.0105951621720117,0.0046911371767581,930.3399999999964,181.56999999999243,-1539.6600000000035,67.14422610957867,60.89042343285954,79.65183146301693,529.0686301090791,1033.5822348638278,2041.5071428571432,2088.9035714285733,87693.589,88697.42614581391,86689.7518541861,-38860.27542813,87721.04711172669,87853.18168810078,88050.4763052834,73.133501324534,78.55012270975607,-7972.055623892729,-0.1666032927793861,-0.1507436907819318
